window_start_utc,duration_mins
2026-02-07T02:41:00,120
2026-02-08T03:46:00,120
2026-02-09T04:20:00,120
2026-02-10T05:06:00,120
2026-02-11T06:05:00,120
2026-03-07T01:29:00,120
2026-03-08T01:57:00,120
2026-03-09T02:56:00,120
2026-03-10T03:52:00,120
2026-03-11T04:48:00,115
2026-04-01T22:24:00,120
2026-04-04T00:00:00,120
2026-04-05T00:53:00,120
2026-04-06T01:40:00,120
2026-04-07T02:36:00,120
2026-04-30T22:06:00,120
1969-07-16T13:32:00,270
1969-11-14T16:22:00,180
